Lauf;Dauer (Sek);OA_HR_Min;OA_HR_Max;OA_HR_Avg;HG_HR_Min;HG_HR_Max;HG_HR_Avg;OA_HR_Loss(s);HG_HR_Loss(s);OA_Speed_Avg;HG_Speed_Avg;GPS_Abw_Ø(m);GPS_Abw_Max(m)
Lauf_1;1634.0;105;186;148.9;116.0;168.0;149.6;0;1184;7.0;5.8;3.42;10.55
Lauf_2;1556.0;127;188;150.8;79.0;165.0;130.8;0;29;6.7;6.6;7.2;30.5
Lauf_3;1722.0;120;184;144.3;124.0;170.0;146.2;0;13;6.4;6.2;8.26;22.88
Lauf_4;1762.0;118;180;145.8;99.0;169.0;142.6;0;1269;6.5;6.4;3.84;11.13
Lauf_5;1617.0;89;185;142.9;104.0;169.0;144.0;0;1144;7.1;7.0;2.12;6.58
Lauf_6;1608.0;116;185;153.1;123.0;175.0;155.1;0;1052;6.8;7.1;2.48;17.88
