Timestamp,BPM,Latitude,Longitude,speed_native,dt
2026-05-23T09:31:13.443694,112,52.4924601,13.2373783,0.0,2026-05-23 09:31:13
2026-05-23T09:31:14.390583,114,52.4924653,13.2373843,2.5439114461702634,2026-05-23 09:31:14
2026-05-23T09:31:15.332028,116,52.4924752,13.2373949,4.730743655392831,2026-05-23 09:31:15
2026-05-23T09:31:16.315889,117,52.4924849,13.2374107,5.468711527917737,2026-05-23 09:31:16
2026-05-23T09:31:17.343432,117,52.4924971,13.2374328,7.270761497211855,2026-05-23 09:31:17
2026-05-23T09:31:18.363209,118,52.4925105,13.237457,7.972605985917729,2026-05-23 09:31:18
2026-05-23T09:31:19.393949,118,52.4925224,13.2374765,6.729059128623993,2026-05-23 09:31:19
2026-05-23T09:31:20.366930,119,52.4925338,13.2374925,6.002703195378138,2026-05-23 09:31:20
2026-05-23T09:31:21.364459,120,52.4925471,13.2375065,6.323632078402029,2026-05-23 09:31:21
2026-05-23T09:31:22.353316,122,52.4925627,13.2375213,7.2116736010717535,2026-05-23 09:31:22
2026-05-23T09:31:23.348726,121,52.4925784,13.2375335,6.952669938864701,2026-05-23 09:31:23
2026-05-23T09:31:24.340602,120,52.4925934,13.237546,6.733216713513512,2026-05-23 09:31:24
2026-05-23T09:31:25.380428,120,52.492607,13.2375604,6.477365877052768,2026-05-23 09:31:25
2026-05-23T09:31:26.375275,119,52.4926201,13.2375748,6.310074284764445,2026-05-23 09:31:26
2026-05-23T09:31:27.335658,118,52.4926333,13.2375896,6.397835771621731,2026-05-23 09:31:27
2026-05-23T09:31:28.355685,118,52.4926461,13.2376038,6.183215707908991,2026-05-23 09:31:28
2026-05-23T09:31:29.397971,118,52.4926589,13.2376225,6.857615072467963,2026-05-23 09:31:29
2026-05-23T09:31:30.358640,118,52.4926712,13.237638,6.206020634328913,2026-05-23 09:31:30
2026-05-23T09:31:31.408046,119,52.4926828,13.2376538,6.032548850638972,2026-05-23 09:31:31
2026-05-23T09:31:32.373657,121,52.4926953,13.2376688,6.197061208633054,2026-05-23 09:31:32
2026-05-23T09:31:33.348361,121,52.4927095,13.2376881,7.378236183888706,2026-05-23 09:31:33
2026-05-23T09:31:34.377299,122,52.4927247,13.2377083,7.826956839942954,2026-05-23 09:31:34
2026-05-23T09:31:35.375750,123,52.4927407,13.237727,7.860958179582039,2026-05-23 09:31:35
2026-05-23T09:31:36.506768,125,52.4927586,13.2377379,3.8210178211226857,2026-05-23 09:31:37
2026-05-23T09:31:37.374994,126,52.4927777,13.2377516,0.0,2026-05-23 09:31:37
2026-05-23T09:31:38.359896,127,52.4927964,13.2377697,8.688843892278276,2026-05-23 09:31:38
2026-05-23T09:31:39.399201,128,52.4928175,13.2377778,8.674016727756385,2026-05-23 09:31:39
2026-05-23T09:31:40.363686,128,52.4928318,13.2377828,5.852594634744468,2026-05-23 09:31:40
2026-05-23T09:31:41.382791,130,52.4928466,13.2377889,6.108165925174057,2026-05-23 09:31:41
2026-05-23T09:31:42.345892,131,52.4928617,13.2377942,6.181043414245227,2026-05-23 09:31:42
2026-05-23T09:31:43.394811,131,52.492872,13.2378031,4.658899976237783,2026-05-23 09:31:43
2026-05-23T09:31:44.369544,133,52.4928828,13.2378178,5.614891406689908,2026-05-23 09:31:44
2026-05-23T09:31:45.379554,134,52.492894,13.2378382,6.694917333067919,2026-05-23 09:31:45
2026-05-23T09:31:46.405364,134,52.4929036,13.2378567,5.924405714994574,2026-05-23 09:31:46
2026-05-23T09:31:47.382169,135,52.4929136,13.2378757,6.121166213220439,2026-05-23 09:31:47
2026-05-23T09:31:48.348938,135,52.4929249,13.2378928,6.150714890395376,2026-05-23 09:31:48
2026-05-23T09:31:49.402020,135,52.4929393,13.2379092,7.0146076491173694,2026-05-23 09:31:49
2026-05-23T09:31:50.365063,136,52.4929536,13.2379242,6.792161667093332,2026-05-23 09:31:50
2026-05-23T09:31:51.348693,136,52.4929676,13.2379414,6.998650493409596,2026-05-23 09:31:51
2026-05-23T09:31:52.397609,137,52.4929822,13.2379603,7.441532088644201,2026-05-23 09:31:52
2026-05-23T09:31:53.409688,138,52.4929962,13.2379744,6.573980671044448,2026-05-23 09:31:53
2026-05-23T09:31:54.337618,139,52.4930078,13.237989,5.850163218270621,2026-05-23 09:31:54
2026-05-23T09:31:55.392327,139,52.493018,13.2380075,6.082938957012341,2026-05-23 09:31:55
2026-05-23T09:31:56.355007,139,52.4930305,13.2380291,7.263105882940165,2026-05-23 09:31:56
2026-05-23T09:31:57.348834,140,52.4930452,13.2380534,8.348851773301046,2026-05-23 09:31:57
2026-05-23T09:31:58.395084,141,52.4930599,13.2380781,8.41828938232694,2026-05-23 09:31:58
2026-05-23T09:31:59.388078,141,52.4930739,13.2381023,8.136087832183698,2026-05-23 09:31:59
2026-05-23T09:32:00.347470,141,52.4930869,13.2381279,8.124711525208939,2026-05-23 09:32:00
2026-05-23T09:32:01.395840,141,52.4930995,13.2381536,8.042063006438092,2026-05-23 09:32:01
2026-05-23T09:32:02.385848,141,52.4931112,13.2381778,7.531533078605766,2026-05-23 09:32:02
2026-05-23T09:32:03.362148,142,52.4931224,13.238201,7.216198861372185,2026-05-23 09:32:03
2026-05-23T09:32:04.390100,142,52.4931337,13.2382243,7.260184211236551,2026-05-23 09:32:04
2026-05-23T09:32:05.381168,142,52.4931451,13.2382467,7.115531000330518,2026-05-23 09:32:05
2026-05-23T09:32:06.406739,142,52.4931566,13.2382699,7.291414196769188,2026-05-23 09:32:06
2026-05-23T09:32:07.419450,143,52.4931678,13.2382922,7.045631989935108,2026-05-23 09:32:07
2026-05-23T09:32:08.354320,144,52.4931799,13.2383109,6.650818216573141,2026-05-23 09:32:08
2026-05-23T09:32:09.346828,144,52.4931936,13.2383277,6.844081311303948,2026-05-23 09:32:09
2026-05-23T09:32:10.409002,144,52.4932068,13.2383451,6.775332229389831,2026-05-23 09:32:10
2026-05-23T09:32:11.358778,144,52.4932187,13.2383628,6.426658795992534,2026-05-23 09:32:11
2026-05-23T09:32:12.393488,144,52.4932302,13.2383797,6.177201492113073,2026-05-23 09:32:12
2026-05-23T09:32:13.417508,144,52.4932416,13.2383986,6.484138865632437,2026-05-23 09:32:13
2026-05-23T09:32:14.387305,144,52.4932517,13.2384204,6.6765664877739095,2026-05-23 09:32:14
2026-05-23T09:32:15.336919,144,52.493262,13.2384438,7.037490894297484,2026-05-23 09:32:15
2026-05-23T09:32:16.366808,144,52.4932732,13.2384674,7.29282627326821,2026-05-23 09:32:16
2026-05-23T09:32:17.396269,145,52.4932841,13.2384918,7.375902589620516,2026-05-23 09:32:17
2026-05-23T09:32:18.350507,145,52.4932944,13.2385158,7.156509329661078,2026-05-23 09:32:18
2026-05-23T09:32:19.410202,145,52.4933058,13.2385361,6.730823150098453,2026-05-23 09:32:19
2026-05-23T09:32:20.373379,146,52.4933189,13.2385542,6.8527177446532015,2026-05-23 09:32:20
2026-05-23T09:32:21.370103,147,52.4933318,13.2385746,7.168439178335249,2026-05-23 09:32:21
2026-05-23T09:32:22.403718,147,52.4933442,13.2385973,7.432897686436814,2026-05-23 09:32:22
2026-05-23T09:32:23.368059,147,52.493356,13.2386194,7.164113409112267,2026-05-23 09:32:23
2026-05-23T09:32:24.325899,147,52.4933679,13.2386425,7.374906338105435,2026-05-23 09:32:24
2026-05-23T09:32:25.396609,147,52.4933784,13.2386681,7.523046728490495,2026-05-23 09:32:25
2026-05-23T09:32:26.336071,148,52.4933874,13.2386949,7.459513351444602,2026-05-23 09:32:26
2026-05-23T09:32:27.393447,148,52.4933971,13.2387206,7.369628707552945,2026-05-23 09:32:27
2026-05-23T09:32:28.354868,148,52.4934087,13.2387434,7.241651702835322,2026-05-23 09:32:28
2026-05-23T09:32:29.368863,149,52.4934213,13.2387634,7.014316769613693,2026-05-23 09:32:29
2026-05-23T09:32:30.331434,151,52.4934361,13.2387807,7.271700915352119,2026-05-23 09:32:30
2026-05-23T09:32:31.389014,151,52.4934479,13.2388009,6.822777032429348,2026-05-23 09:32:31
2026-05-23T09:32:32.335578,149,52.493457,13.2388254,6.9946722786519695,2026-05-23 09:32:32
2026-05-23T09:32:33.399545,150,52.4934686,13.2388509,7.758092641050563,2026-05-23 09:32:33
2026-05-23T09:32:34.355906,152,52.4934779,13.2388755,7.057390244356818,2026-05-23 09:32:34
2026-05-23T09:32:35.371984,152,52.4934849,13.2388967,5.877863312404703,2026-05-23 09:32:35
2026-05-23T09:32:36.339909,151,52.4934937,13.2389153,5.741050625749985,2026-05-23 09:32:36
2026-05-23T09:32:37.393023,151,52.4935032,13.2389362,6.356805496957255,2026-05-23 09:32:37
2026-05-23T09:32:38.462520,151,52.4935131,13.2389574,6.511733991943335,2026-05-23 09:32:38
2026-05-23T09:32:39.335512,151,52.4935242,13.2389759,6.330363962946074,2026-05-23 09:32:39
2026-05-23T09:32:40.347666,152,52.4935339,13.2389964,6.32776258471934,2026-05-23 09:32:40
2026-05-23T09:32:41.347427,153,52.493542,13.2390187,6.32875797999094,2026-05-23 09:32:41
2026-05-23T09:32:42.330899,153,52.49355,13.2390417,6.455911743719352,2026-05-23 09:32:42
2026-05-23T09:32:43.391728,153,52.4935591,13.2390644,6.624087375083955,2026-05-23 09:32:43
2026-05-23T09:32:44.352911,154,52.4935679,13.2390868,6.497255114722889,2026-05-23 09:32:44
2026-05-23T09:32:45.363630,154,52.4935763,13.2391105,6.683694545458676,2026-05-23 09:32:45
2026-05-23T09:32:46.379040,154,52.4935855,13.2391338,6.768398250247659,2026-05-23 09:32:46
2026-05-23T09:32:47.372730,154,52.4935945,13.2391566,6.622591861040586,2026-05-23 09:32:47
2026-05-23T09:32:48.423679,153,52.4936029,13.2391836,7.389868550208074,2026-05-23 09:32:48
2026-05-23T09:32:49.382378,153,52.4936117,13.2392105,7.442609016810305,2026-05-23 09:32:49
2026-05-23T09:32:50.357504,153,52.4936215,13.2392356,7.267251813843496,2026-05-23 09:32:50
2026-05-23T09:32:51.337237,153,52.4936322,13.2392543,6.254442177135582,2026-05-23 09:32:51
2026-05-23T09:32:52.371546,153,52.4936436,13.2392663,5.420216680470667,2026-05-23 09:32:52
2026-05-23T09:32:53.335010,153,52.4936525,13.2392834,5.482901696183934,2026-05-23 09:32:53
2026-05-23T09:32:54.353200,153,52.4936595,13.2393058,6.136524336663982,2026-05-23 09:32:54
2026-05-23T09:32:55.379641,152,52.4936688,13.2393324,7.475902343400413,2026-05-23 09:32:55
2026-05-23T09:32:56.369129,152,52.4936775,13.2393595,7.466820546169379,2026-05-23 09:32:56
2026-05-23T09:32:57.332830,153,52.4936849,13.2393823,6.297130970043723,2026-05-23 09:32:57
2026-05-23T09:32:58.421285,153,52.4936924,13.2394034,5.954788822181342,2026-05-23 09:32:58
2026-05-23T09:32:59.355592,154,52.4937003,13.2394266,6.478631245752157,2026-05-23 09:32:59
2026-05-23T09:33:00.352484,155,52.4937091,13.2394507,6.849071437044651,2026-05-23 09:33:00
2026-05-23T09:33:01.343414,155,52.4937188,13.2394776,7.619727103778953,2026-05-23 09:33:01
2026-05-23T09:33:02.341137,155,52.4937284,13.2395067,8.066545098067595,2026-05-23 09:33:02
2026-05-23T09:33:03.331006,154,52.4937365,13.2395354,7.709822923193288,2026-05-23 09:33:03
2026-05-23T09:33:04.337918,155,52.4937446,13.2395647,7.842735620337002,2026-05-23 09:33:04
2026-05-23T09:33:05.344381,155,52.493754,13.2395916,7.559231994041697,2026-05-23 09:33:05
2026-05-23T09:33:06.357060,155,52.4937605,13.2396178,6.895310670543301,2026-05-23 09:33:06
2026-05-23T09:33:07.357810,155,52.4937659,13.2396431,6.534103569411184,2026-05-23 09:33:07
2026-05-23T09:33:08.374776,155,52.4937701,13.2396665,5.945768500429379,2026-05-23 09:33:08
2026-05-23T09:33:09.338027,154,52.4937739,13.2396889,5.667347541717051,2026-05-23 09:33:09
2026-05-23T09:33:10.390099,154,52.4937807,13.2397092,5.646948939963644,2026-05-23 09:33:10
2026-05-23T09:33:11.463180,155,52.4937887,13.2397313,6.266368850630438,2026-05-23 09:33:11
2026-05-23T09:33:12.375762,155,52.493794,13.2397581,6.86769030769852,2026-05-23 09:33:12
2026-05-23T09:33:13.352233,154,52.4937982,13.2397863,7.075626716427562,2026-05-23 09:33:13
2026-05-23T09:33:14.401035,154,52.4938023,13.2398144,7.042517877412714,2026-05-23 09:33:14
2026-05-23T09:33:15.326945,154,52.4938067,13.2398414,6.812150035636127,2026-05-23 09:33:15
2026-05-23T09:33:16.353897,155,52.4938109,13.2398685,6.815506000233208,2026-05-23 09:33:16
2026-05-23T09:33:17.338888,155,52.4938159,13.2398937,6.459709332349627,2026-05-23 09:33:17
2026-05-23T09:33:18.369971,155,52.4938188,13.2399224,7.090512530701046,2026-05-23 09:33:18
2026-05-23T09:33:19.387789,154,52.4938198,13.2399549,7.931090254472151,2026-05-23 09:33:19
2026-05-23T09:33:20.386915,153,52.4938242,13.2399861,7.805462838046862,2026-05-23 09:33:20
2026-05-23T09:33:21.344722,153,52.4938308,13.2400138,7.249664625940157,2026-05-23 09:33:21
2026-05-23T09:33:22.355387,152,52.4938369,13.2400447,7.91700042548061,2026-05-23 09:33:22
2026-05-23T09:33:23.336323,152,52.4938418,13.2400754,7.735106883817103,2026-05-23 09:33:23
2026-05-23T09:33:24.345049,152,52.4938454,13.2401021,6.665044785459476,2026-05-23 09:33:24
2026-05-23T09:33:25.382088,152,52.493847,13.2401257,5.78739763854032,2026-05-23 09:33:25
2026-05-23T09:33:26.342431,153,52.4938489,13.2401494,5.826078193550446,2026-05-23 09:33:26
2026-05-23T09:33:27.360028,154,52.4938514,13.2401749,6.294977099588916,2026-05-23 09:33:27
2026-05-23T09:33:28.375180,153,52.4938544,13.2402027,6.881083648341593,2026-05-23 09:33:28
2026-05-23T09:33:29.333487,154,52.4938573,13.2402227,5.010774079477595,2026-05-23 09:33:29
