Timestamp,BPM,Latitude,Longitude,speed_native
2026-06-07T20:30:00.000000,nan,52.49249792,13.23738752,0.0
2026-06-07T20:30:01.000000,nan,52.49249792,13.23739133,0.0
2026-06-07T20:30:02.000000,124,52.49250173,13.23739991,0.0
2026-06-07T20:30:03.000000,nan,52.49251698,13.23741421,0.0
2026-06-07T20:30:04.000000,nan,52.49253223,13.23743137,0.0
2026-06-07T20:30:05.000000,nan,52.49254748,13.23745139,0.0
2026-06-07T20:30:06.000000,123,52.49256273,13.23747046,0.0
2026-06-07T20:30:07.000000,nan,52.4925818,13.23748857,2.4084000000000003
2026-06-07T20:30:08.000000,nan,52.49259324,13.23750478,4.1652000000000005
2026-06-07T20:30:09.000000,nan,52.49260849,13.23752099,5.338800000000001
2026-06-07T20:30:10.000000,nan,52.49262374,13.23753624,6.0552
2026-06-07T20:30:11.000000,nan,52.49263899,13.23755054,6.3755999999999995
2026-06-07T20:30:12.000000,124,52.49265043,13.23756484,6.5052
2026-06-07T20:30:13.000000,126,52.49266568,13.23758009,6.5808
2026-06-07T20:30:14.000000,127,52.49268093,13.23759534,6.6276
2026-06-07T20:30:15.000000,nan,52.49269618,13.23761155,6.6888000000000005
2026-06-07T20:30:16.000000,128,52.49270762,13.23762776,6.7464
2026-06-07T20:30:17.000000,nan,52.49271906,13.23764587,6.7860000000000005
2026-06-07T20:30:18.000000,129,52.4927305,13.23766303,6.7428
2026-06-07T20:30:19.000000,130,52.49274194,13.23768019,6.606
2026-06-07T20:30:20.000000,nan,52.49274956,13.23769544,6.4224000000000006
2026-06-07T20:30:21.000000,131,52.492761,13.23770974,6.1992
2026-06-07T20:30:22.000000,nan,52.49276862,13.23772499,5.9544
2026-06-07T20:30:23.000000,nan,52.49277624,13.23773929,5.706
2026-06-07T20:30:24.000000,nan,52.49278768,13.23775359,5.5368
2026-06-07T20:30:25.000000,nan,52.49279912,13.23776789,5.425199999999999
2026-06-07T20:30:26.000000,132,52.49281056,13.2377841,5.396400000000001
2026-06-07T20:30:27.000000,133,52.492822,13.23780031,5.4468
2026-06-07T20:30:28.000000,135,52.49283344,13.23781747,5.6052
2026-06-07T20:30:29.000000,136,52.49284869,13.23783463,5.8356
2026-06-07T20:30:30.000000,137,52.49286013,13.23785179,6.0767999999999995
2026-06-07T20:30:31.000000,nan,52.49287157,13.237868,6.228
2026-06-07T20:30:32.000000,138,52.49288301,13.23788421,6.2892
2026-06-07T20:30:33.000000,137,52.49289445,13.23789946,6.282000000000001
2026-06-07T20:30:34.000000,136,52.49290589,13.23791471,6.188400000000001
2026-06-07T20:30:35.000000,137,52.49291733,13.23792901,6.0876
2026-06-07T20:30:36.000000,138,52.49292877,13.23794522,6.0192
2026-06-07T20:30:37.000000,nan,52.49294021,13.23796143,6.0156
2026-06-07T20:30:38.000000,139,52.49295546,13.23797954,6.0984
2026-06-07T20:30:39.000000,140,52.4929669,13.23799765,6.264
2026-06-07T20:30:40.000000,nan,52.49297834,13.23801386,6.368399999999999
2026-06-07T20:30:41.000000,nan,52.49299359,13.23802721,6.4368
2026-06-07T20:30:42.000000,nan,52.49300503,13.23804056,6.4475999999999996
2026-06-07T20:30:43.000000,nan,52.49301647,13.23805486,6.3252
2026-06-07T20:30:44.000000,nan,52.49302791,13.23807011,6.1524
2026-06-07T20:30:45.000000,nan,52.49303553,13.23808632,5.9904
2026-06-07T20:30:46.000000,nan,52.49304697,13.23810348,5.8788
2026-06-07T20:30:47.000000,nan,52.49305841,13.23811969,5.824800000000001
2026-06-07T20:30:48.000000,nan,52.49306603,13.2381378,5.8284
2026-06-07T20:30:49.000000,nan,52.49307747,13.23815591,5.867999999999999
2026-06-07T20:30:50.000000,nan,52.49308891,13.23817212,5.9256
2026-06-07T20:30:51.000000,nan,52.49310035,13.23818833,5.9832
2026-06-07T20:30:52.000000,nan,52.4931156,13.23820454,6.0372
2026-06-07T20:30:53.000000,nan,52.49312704,13.2382217,6.0912
2026-06-07T20:30:54.000000,nan,52.49313848,13.23823981,6.1596
2026-06-07T20:30:55.000000,141,52.49314992,13.23825697,6.2172
2026-06-07T20:30:56.000000,142,52.49316136,13.23827318,6.2424
2026-06-07T20:30:57.000000,nan,52.4931728,13.23829129,6.2928
2026-06-07T20:30:58.000000,nan,52.49318424,13.2383094,6.3288
2026-06-07T20:30:59.000000,nan,52.49319568,13.23832847,6.3612
2026-06-07T20:31:00.000000,nan,52.49320712,13.23834849,6.4332
2026-06-07T20:31:01.000000,nan,52.49321856,13.2383666,6.4764
2026-06-07T20:31:02.000000,143,52.49323,13.23838376,6.5052
2026-06-07T20:31:03.000000,144,52.49324144,13.23840092,6.4584
2026-06-07T20:31:04.000000,nan,52.49325288,13.23841808,6.3396
2026-06-07T20:31:05.000000,nan,52.4932605,13.23843524,6.188400000000001
2026-06-07T20:31:06.000000,nan,52.49327194,13.2384524,6.0732
2026-06-07T20:31:07.000000,nan,52.49328338,13.23846956,5.9832
2026-06-07T20:31:08.000000,nan,52.493291,13.23848481,5.9184
2026-06-07T20:31:09.000000,nan,52.49330244,13.23850102,5.8751999999999995
2026-06-07T20:31:10.000000,nan,52.49331388,13.23851913,5.860799999999999
2026-06-07T20:31:11.000000,nan,52.4933215,13.23853915,5.8644
2026-06-07T20:31:12.000000,nan,52.49333294,13.23855822,5.9148000000000005
2026-06-07T20:31:13.000000,nan,52.49334438,13.23857824,5.9976
2026-06-07T20:31:14.000000,145,52.493352,13.23859826,6.0912
2026-06-07T20:31:15.000000,nan,52.49336344,13.23862019,6.174
2026-06-07T20:31:16.000000,nan,52.49337488,13.23864212,6.2856000000000005
2026-06-07T20:31:17.000000,146,52.49338632,13.23866405,6.426
2026-06-07T20:31:18.000000,147,52.49339394,13.23868598,6.566400000000001
2026-06-07T20:31:19.000000,148,52.49340538,13.23870791,6.6564
2026-06-07T20:31:20.000000,149,52.493413,13.23872984,6.6924
2026-06-07T20:31:21.000000,nan,52.49342444,13.23875177,6.6744
2026-06-07T20:31:22.000000,nan,52.49343206,13.2387737,6.6276
2026-06-07T20:31:23.000000,nan,52.49343968,13.23879563,6.5520000000000005
2026-06-07T20:31:24.000000,nan,52.49345112,13.23881661,6.4872000000000005
2026-06-07T20:31:25.000000,nan,52.49345874,13.23883759,6.4224000000000006
2026-06-07T20:31:26.000000,nan,52.49346636,13.23886047,6.3792
2026-06-07T20:31:27.000000,nan,52.4934778,13.23888145,6.3648
2026-06-07T20:31:28.000000,nan,52.49348542,13.23890243,6.3792
2026-06-07T20:31:29.000000,150,52.49349686,13.23892245,6.3864
2026-06-07T20:31:30.000000,nan,52.49350448,13.23894343,6.368399999999999
2026-06-07T20:31:31.000000,nan,52.4935121,13.23896536,6.3144
2026-06-07T20:31:32.000000,nan,52.49351972,13.23898634,6.2352
2026-06-07T20:31:33.000000,nan,52.49352734,13.23900827,6.174
2026-06-07T20:31:34.000000,151,52.49353496,13.2390302,6.1524
2026-06-07T20:31:35.000000,nan,52.49354258,13.23905404,6.174
2026-06-07T20:31:36.000000,nan,52.4935502,13.23907692,6.2352
2026-06-07T20:31:37.000000,nan,52.49356164,13.23909885,6.3324
2026-06-07T20:31:38.000000,nan,52.49356926,13.23912269,6.429600000000001
2026-06-07T20:31:39.000000,150,52.49357688,13.23914748,6.5088
2026-06-07T20:31:40.000000,149,52.4935845,13.23917036,6.559200000000001
2026-06-07T20:31:41.000000,148,52.49359212,13.23919515,6.6096
2026-06-07T20:31:42.000000,nan,52.49360737,13.23921517,6.6744
2026-06-07T20:31:43.000000,nan,52.49361499,13.23923901,6.7248
2026-06-07T20:31:44.000000,nan,52.49362261,13.2392638,6.7428
2026-06-07T20:31:45.000000,149,52.49363023,13.23928954,6.7608
2026-06-07T20:31:46.000000,150,52.49363785,13.23931528,6.7824
2026-06-07T20:31:47.000000,151,52.49364166,13.23934007,6.7860000000000005
2026-06-07T20:31:48.000000,150,52.49364928,13.23936391,6.7752
2026-06-07T20:31:49.000000,nan,52.49366072,13.23938679,6.7428
2026-06-07T20:31:50.000000,nan,52.49366834,13.23940872,6.6744
2026-06-07T20:31:51.000000,nan,52.49367596,13.2394316,6.5988
2026-06-07T20:31:52.000000,nan,52.49368358,13.23945544,6.5520000000000005
2026-06-07T20:31:53.000000,149,52.4936912,13.23947928,6.5232
2026-06-07T20:31:54.000000,nan,52.49369882,13.23950407,6.5304
2026-06-07T20:31:55.000000,nan,52.49370644,13.23952791,6.534
2026-06-07T20:31:56.000000,nan,52.49371025,13.2395527,6.5484
2026-06-07T20:31:57.000000,nan,52.49371787,13.23957654,6.534
2026-06-07T20:31:58.000000,nan,52.49372549,13.23959942,6.5088
2026-06-07T20:31:59.000000,nan,52.4937293,13.23962326,6.462
2026-06-07T20:32:00.000000,nan,52.49373692,13.23964614,6.4116
2026-06-07T20:32:01.000000,nan,52.49374073,13.23966902,6.3252
2026-06-07T20:32:02.000000,150,52.49374835,13.23969095,6.2352
2026-06-07T20:32:03.000000,nan,52.49375216,13.23971193,6.1272
2026-06-07T20:32:04.000000,151,52.49375978,13.23973481,6.0516000000000005
2026-06-07T20:32:05.000000,nan,52.49376359,13.23976055,6.0047999999999995
2026-06-07T20:32:06.000000,152,52.49377121,13.23978629,6.0696
2026-06-07T20:32:07.000000,nan,52.49377883,13.23981108,6.188400000000001
2026-06-07T20:32:08.000000,nan,52.49378264,13.23983682,6.3432
